"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLDM","10 Grams","06-JAN-2026","1,36,486.00","1,36,228.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06012026_2.xlsx"
"GOLDM","10 Grams","05-JAN-2026","1,35,246.00","1,35,768.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05012026_2.xlsx"
"GOLDM","10 Grams","02-JAN-2026","1,33,878.00","1,34,066.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02012026_2.xlsx"
"GOLDM","10 Grams","01-JAN-2026","1,32,649.00","1,33,012.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01012026_2.xlsx"
"GOLDM","10 Grams","31-DEC-2025","1,32,698.00","1,32,642.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31122025_2.xlsx"
"GOLDM","10 Grams","30-DEC-2025","1,33,892.00","1,34,158.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30122025_2.xlsx"
"GOLDM","10 Grams","29-DEC-2025","1,37,599.00","1,36,532.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29122025_2.xlsx"
"GOLDM","10 Grams","26-DEC-2025","1,37,400.00","1,37,551.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26122025_2.xlsx"
"GOLDM","10 Grams","24-DEC-2025","1,36,194.00","1,36,183.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24122025_2.xlsx"
"GOLDM","10 Grams","23-DEC-2025","1,35,744.00","1,35,817.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23122025_2.xlsx"
"GOLDM","10 Grams","22-DEC-2025","1,33,169.00","1,33,635.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22122025_2.xlsx"
"GOLDM","10 Grams","19-DEC-2025","1,32,028.00","1,31,513.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19122025_2.xlsx"
"GOLDM","10 Grams","18-DEC-2025","1,31,960.00","1,32,030.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18122025_2.xlsx"
"GOLDM","10 Grams","17-DEC-2025","1,32,216.00","1,31,951.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17122025_2.xlsx"
"GOLDM","10 Grams","16-DEC-2025","1,31,728.00","1,31,490.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16122025_2.xlsx"
"GOLDM","10 Grams","15-DEC-2025","1,33,031.00","1,32,923.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15122025_2.xlsx"
"GOLDM","10 Grams","12-DEC-2025","1,30,452.00","1,32,020.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12122025_2.xlsx"
"GOLDM","10 Grams","11-DEC-2025","1,28,253.00","1,28,531.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11122025_2.xlsx"
"GOLDM","10 Grams","10-DEC-2025","1,27,822.00","1,27,627.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10122025_2.xlsx"
"GOLDM","10 Grams","09-DEC-2025","1,27,030.00","1,27,689.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09122025_2.xlsx"
